pos	conj	neg	fml	onum	stem	okuri	euphr	euphk	pos2
1	1	f	f	1	1	い			
1	1	f	t	1	1	いです			
1	1	t	f	1	1	くない			
1	1	t	t	1	1	くないです			
1	1	t	t	2	1	くありません			
1	2	f	f	1	1	かった			
1	2	f	t	1	1	かったです			
1	2	t	f	1	1	くなかった			
1	2	t	t	1	1	くなかったです			
1	2	t	t	2	1	くありませんでした			
1	3	f	f	1	1	くて			
1	3	t	f	1	1	くなくて			
1	4	f	f	1	1	ければ			
1	4	t	f	1	1	くなければ			
1	7	f	f	1	1	くさせる			
1	9	f	f	1	1	かろう			
1	9	f	t	1	1	いでしょう			
1	11	f	f	1	1	かったら			
1	11	t	f	1	1	くなかったら			
1	12	f	f	1	1	かったり			
2	1	f	f	1	0	だ			
7	1	f	f	1	1	い			
7	1	f	t	1	1	いです			
7	1	t	f	1	1	くない	よ		
7	1	t	t	1	1	くないです	よ		
7	1	t	t	2	1	くありません	よ		
7	2	f	f	1	1	かった	よ		
7	2	f	t	1	1	かったです	よ		
7	2	t	f	1	1	くなかった	よ		
7	2	t	t	1	1	くなかったです	よ		
7	2	t	t	2	1	くありませんでした	よ		
7	3	f	f	1	1	くて	よ		
7	3	t	f	1	1	くなくて	よ		
7	4	f	f	1	1	ければ	よ		
7	4	t	f	1	1	くなければ	よ		
7	7	f	f	1	1	くさせる	よ		
7	9	f	f	1	1	かろう	よ		
7	9	f	t	1	1	いでしょう			
7	11	f	f	1	1	かったら	よ		
7	11	t	f	1	1	くなかったら	よ		
7	12	f	f	1	1	かったり	よ		
15	1	f	f	1	1	だ			
15	1	f	t	1	1	です			
15	1	t	f	1	1	ではない			
15	1	t	t	1	1	ではありません			
15	1	t	t	2	1	ではないです			
15	2	f	f	1	1	だった			
15	2	f	t	1	1	でした			
15	2	t	f	1	1	ではなかった			
15	2	t	t	1	1	ではありませんでした			
15	3	f	f	1	1	で			
15	3	f	t	1	1	でありまして			
15	3	t	f	1	1	ではなくて			
15	4	f	f	1	1	なら			
15	4	f	f	2	1	ならば			
15	4	f	f	3	1	であれば			
15	9	f	f	1	1	だろう			
15	9	f	t	1	1	でしょう			
15	10	f	f	1	1	であれ			
15	11	f	f	1	1	だったら			
15	11	f	t	1	1	でしたら			
15	11	t	f	1	1	ではなかったら			
15	11	t	t	1	1	ではありませんでしたら			
15	12	f	f	1	1	だったり			
17	1	f	f	1	0	だ			
28	1	f	f	1	1	る			
28	1	f	t	1	1	ます			
28	1	t	f	1	1	ない			
28	1	t	t	1	1	ません			
28	2	f	f	1	1	た			
28	2	f	t	1	1	ました			
28	2	t	f	1	1	なかった			
28	2	t	t	1	1	ませんでした			
28	3	f	f	1	1	て			
28	3	f	t	1	1	まして			
28	3	t	f	1	1	なくて			
28	3	t	f	2	1	ないで			
28	3	t	t	1	1	ませんで			
28	4	f	f	1	1	れば			
28	4	f	t	1	1	ますなら			
28	4	f	t	2	1	ますならば			
28	4	t	f	1	1	なければ			
28	4	t	t	1	1	ませんなら			
28	4	t	t	2	1	ませんならば			
28	5	f	f	1	1	られる			
28	5	f	f	2	1	れる			
28	5	f	t	1	1	られます			
28	5	f	t	2	1	れます			
28	5	t	f	1	1	られない			
28	5	t	f	2	1	れない			
28	5	t	t	1	1	られません			
28	5	t	t	2	1	れません			
28	6	f	f	1	1	られる			
28	6	f	t	1	1	られます			
28	6	t	f	1	1	られない			
28	6	t	t	1	1	られません			
28	7	f	f	1	1	させる			
28	7	f	f	2	1	さす			
28	7	f	t	1	1	させます			
28	7	f	t	2	1	さします			
28	7	t	f	1	1	させない			
28	7	t	f	2	1	ささない			
28	7	t	t	1	1	させません			
28	7	t	t	2	1	さしません			
28	8	f	f	1	1	させられる			
28	8	f	t	1	1	させられます			
28	8	t	f	1	1	させられない			
28	8	t	t	1	1	させられません			
28	9	f	f	1	1	よう			
28	9	f	t	1	1	ましょう			
28	9	t	f	1	1	まい			
28	9	t	t	1	1	ますまい			
28	10	f	f	1	1	ろ			
28	10	f	t	1	1	なさい			
28	10	t	f	1	1	るな			
28	10	t	t	1	1	なさるな			
28	11	f	f	1	1	たら			
28	11	f	t	1	1	ましたら			
28	11	t	f	1	1	なかったら			
28	11	t	t	1	1	ませんでしたら			
28	12	f	f	1	1	たり			
28	12	f	t	1	1	ましたり			
28	12	t	f	1	1	なかったり			
28	12	t	t	1	1	ませんでしたり			
28	13	f	f	1	1	""			
29	1	f	f	1	1	る			
29	1	f	t	1	1	ます			
29	1	t	f	1	1	ない			
29	1	t	t	1	1	ません			
29	2	f	f	1	1	た			
29	2	f	t	1	1	ました			
29	2	t	f	1	1	なかった			
29	2	t	t	1	1	ませんでした			
29	3	f	f	1	1	て			
29	3	f	t	1	1	まして			
29	3	t	f	1	1	なくて			
29	3	t	f	2	1	ないで			
29	3	t	t	1	1	ませんで			
29	4	f	f	1	1	れば			
29	4	f	t	1	1	ますなら			
29	4	f	t	2	1	ますならば			
29	4	t	f	1	1	なければ			
29	4	t	t	1	1	ませんなら			
29	4	t	t	2	1	ませんならば			
29	5	f	f	1	1	られる			
29	5	f	f	2	1	れる			
29	5	f	t	1	1	られます			
29	5	f	t	2	1	れます			
29	5	t	f	1	1	られない			
29	5	t	f	2	1	れない			
29	5	t	t	1	1	られません			
29	5	t	t	2	1	れません			
29	6	f	f	1	1	られる			
29	6	f	t	1	1	られます			
29	6	t	f	1	1	られない			
29	6	t	t	1	1	られません			
29	7	f	f	1	1	させる			
29	7	f	f	2	1	さす			
29	7	f	t	1	1	させます			
29	7	f	t	2	1	さします			
29	7	t	f	1	1	させない			
29	7	t	f	2	1	ささない			
29	7	t	t	1	1	させません			
29	7	t	t	2	1	さしません			
29	8	f	f	1	1	させられる			
29	8	f	t	1	1	させられます			
29	8	t	f	1	1	させられない			
29	8	t	t	1	1	させられません			
29	9	f	f	1	1	よう			
29	9	f	t	1	1	ましょう			
29	9	t	f	1	1	まい			
29	9	t	t	1	1	ますまい			
29	10	f	f	1	1	""			
29	10	f	t	1	1	なさい			
29	10	t	f	1	1	るな			
29	10	t	t	1	1	なさるな			
29	11	f	f	1	1	たら			
29	11	f	t	1	1	ましたら			
29	11	t	f	1	1	なかったら			
29	11	t	t	1	1	ませんでしたら			
29	12	f	f	1	1	たり			
29	12	f	t	1	1	ましたり			
29	12	t	f	1	1	なかったり			
29	12	t	t	1	1	ませんでしたり			
29	13	f	f	1	1	""			
30	1	f	f	1	1	る			
30	1	f	t	1	1	います			
30	1	t	f	1	1	らない			
30	1	t	t	1	1	いません			
30	2	f	f	1	1	った			
30	2	f	t	1	1	いました			
30	2	t	f	1	1	らなかった			
30	2	t	t	1	1	いませんでした			
30	3	f	f	1	1	って			
30	3	f	t	1	1	いまして			
30	3	t	f	1	1	らなくて			
30	3	t	f	2	1	らないで			
30	3	t	t	1	1	いませんで			
30	4	f	f	1	1	れば			
30	4	f	t	1	1	いますなら			
30	4	f	t	2	1	いますならば			
30	4	t	f	1	1	らなければ			
30	4	t	t	1	1	いませんなら			
30	4	t	t	2	1	いませんならば			
30	5	f	f	1	1	れる			
30	5	f	t	1	1	れます			
30	5	t	f	1	1	れない			
30	5	t	t	1	1	れません			
30	6	f	f	1	1	られる			
30	6	f	t	1	1	られます			
30	6	t	f	1	1	られない			
30	6	t	t	1	1	られません			
30	7	f	f	1	1	らせる			
30	7	f	f	2	1	らす			
30	7	f	t	1	1	らせます			
30	7	f	t	2	1	らします			
30	7	t	f	1	1	らせない			
30	7	t	f	2	1	らさない			
30	7	t	t	1	1	らせません			
30	7	t	t	2	1	らしません			
30	8	f	f	1	1	らせられる			
30	8	f	f	2	1	らされる			
30	8	f	t	1	1	らせられます			
30	8	f	t	2	1	らされます			
30	8	t	f	1	1	らせられない			
30	8	t	f	2	1	らされない			
30	8	t	t	1	1	らせられません			
30	8	t	t	2	1	らされません			
30	9	f	f	1	1	ろう			
30	9	f	t	1	1	いましょう			
30	9	t	f	1	1	るまい			
30	9	t	t	1	1	いませんまい			
30	10	f	f	1	1	い			
30	10	f	t	1	1	いなさい			
30	10	t	f	1	1	るな			
30	10	t	t	1	1	いなさるな			
30	11	f	f	1	1	ったら			
30	11	f	t	1	1	いましたら			
30	11	t	f	1	1	らなかったら			
30	11	t	t	1	1	いませんでしたら			
30	12	f	f	1	1	ったり			
30	12	f	t	1	1	いましたり			
30	12	t	f	1	1	らなかったり			
30	12	t	t	1	1	いませんでしたり			
30	13	f	f	1	1	い			
31	1	f	f	1	1	ぶ			
31	1	f	t	1	1	びます			
31	1	t	f	1	1	ばない			
31	1	t	t	1	1	びません			
31	2	f	f	1	1	んだ			
31	2	f	t	1	1	びました			
31	2	t	f	1	1	ばなかった			
31	2	t	t	1	1	びませんでした			
31	3	f	f	1	1	んで			
31	3	f	t	1	1	びまして			
31	3	t	f	1	1	ばなくて			
31	3	t	f	2	1	ばないで			
31	3	t	t	1	1	びませんで			
31	4	f	f	1	1	べば			
31	4	f	t	1	1	びますなら			
31	4	f	t	2	1	びますならば			
31	4	t	f	1	1	ばなければ			
31	4	t	t	1	1	びませんなら			
31	4	t	t	2	1	びませんならば			
31	5	f	f	1	1	べる			
31	5	f	t	1	1	べます			
31	5	t	f	1	1	べない			
31	5	t	t	1	1	べません			
31	6	f	f	1	1	ばれる			
31	6	f	t	1	1	ばれます			
31	6	t	f	1	1	ばれない			
31	6	t	t	1	1	ばれません			
31	7	f	f	1	1	ばせる			
31	7	f	f	2	1	ばす			
31	7	f	t	1	1	ばせます			
31	7	f	t	2	1	ばします			
31	7	t	f	1	1	ばせない			
31	7	t	f	2	1	ばさない			
31	7	t	t	1	1	ばせません			
31	7	t	t	2	1	ばしません			
31	8	f	f	1	1	ばせられる			
31	8	f	f	2	1	ばされる			
31	8	f	t	1	1	ばせられます			
31	8	f	t	2	1	ばされます			
31	8	t	f	1	1	ばせられない			
31	8	t	f	2	1	ばされない			
31	8	t	t	1	1	ばせられません			
31	8	t	t	2	1	ばされません			
31	9	f	f	1	1	ぼう			
31	9	f	t	1	1	びましょう			
31	9	t	f	1	1	ぶまい			
31	9	t	t	1	1	びませんまい			
31	10	f	f	1	1	べ			
31	10	f	t	1	1	びなさい			
31	10	t	f	1	1	ぶな			
31	10	t	t	1	1	びなさるな			
31	11	f	f	1	1	んだら			
31	11	f	t	1	1	びましたら			
31	11	t	f	1	1	ばなかったら			
31	11	t	t	1	1	びませんでしたら			
